ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT1G04190	14.32	17.86	1.247	0.319	0.791	1
AT1G04200	30.91	22.25	0.72	-0.474	0.393	0.954
AT1G04210	83.07	105.63	1.272	0.347	0.257	0.825
AT1G04220	20.71	62.17	3.002	1.586	0.000557	0.0117
AT1G04230	9.79	7.31	0.746	-0.422	0.685	1
AT1G04240	22.02	236.47	10.737	3.425	9.75E-26	4.86E-23
AT1G04250	49.99	105.47	2.11	1.077	0.00166	0.0275
AT1G04260	9.15	9.94	1.086	0.119	0.934	1
AT1G04270	218.25	385.62	1.767	0.821	7.66E-05	0.00226
AT1G04280	22.98	6.53	0.284	-1.816	0.0162	0.154
AT1G04290	11.01	7.25	0.658	-0.604	0.537	1
AT1G04300	108.26	102.84	0.95	-0.074	0.796	1
AT1G04310	5.44	20.11	3.698	1.887	0.0273	0.223
AT1G04340	8.52	12.01	1.41	0.495	0.61	1
AT1G04350	1.86	1.47	0.789	-0.342	1	1
AT1G04360	15.36	14.8	0.963	-0.054	0.983	1
AT1G04390	11.51	8.78	0.763	-0.39	0.724	1
AT1G04400	155.44	138.16	0.889	-0.17	0.538	1
AT1G04410	1092.34	1074.71	0.984	-0.023	0.868	1
AT1G04420	9.29	4.15	0.447	-1.163	0.353	0.929
AT1G04430	128.66	89.01	0.692	-0.532	0.0745	0.436
AT1G04440	120.32	89.46	0.743	-0.428	0.147	0.637
AT1G04445	1.18	2.98	2.528	1.338	0.778	1
AT1G04480	50.76	83.78	1.651	0.723	0.045	0.313
AT1G04490	1.18	0	0	NA	0.638	1
AT1G04510	35.08	52.35	1.492	0.578	0.178	0.701
AT1G04520	10.33	12.69	1.228	0.296	0.754	1
AT1G04530	32.81	47.41	1.445	0.531	0.258	0.827
AT1G04550	6.66	10.05	1.508	0.593	0.627	1
AT1G04555	4.76	4.81	1.011	0.016	1	1
AT1G04580	0.59	1.28	2.167	1.116	0.984	1
AT1G04590	11.01	28.88	2.623	1.391	0.0339	0.26
AT1G04600	0.59	0.43	0.722	-0.469	1	1
AT1G04610	4.35	1.58	0.364	-1.457	0.476	0.999
AT1G04620	3.17	1.16	0.365	-1.453	0.69	1
AT1G04630	11.6	11.66	1.005	0.007	1	1
AT1G04635	4.31	4.21	0.978	-0.033	1	1
AT1G04640	2.99	5.37	1.794	0.844	0.633	1
AT1G04650	3.08	4.21	1.366	0.45	0.845	1
AT1G04660	0	1.28	Inf	Inf	0.716	1
AT1G04680	34.21	444.34	12.987	3.699	2.64E-43	5.39E-40
AT1G04690	46.22	30.7	0.664	-0.59	0.217	0.766
AT1G04700	18.53	2.86	0.154	-2.696	0.00376	0.0521
AT1G04710	10.33	3.48	0.336	-1.572	0.17	0.686
AT1G04730	12.64	12.98	1.027	0.038	1	1
AT1G04750	92.04	89.79	0.976	-0.036	0.877	1
AT1G04760	0.59	1.64	2.789	1.48	0.848	1
AT1G04770	4.89	12.48	2.551	1.351	0.2	0.739
AT1G04778	1.9	0.73	0.385	-1.377	0.806	1
AT1G04780	64.8	73.6	1.136	0.184	0.627	1
AT1G04790	29.41	24.31	0.826	-0.275	0.623	1
AT1G04810	83.07	113.35	1.365	0.448	0.143	0.629
AT1G04820	524.28	515.85	0.984	-0.023	0.898	1
AT1G04830	31.13	14.4	0.463	-1.112	0.0714	0.425
AT1G04840	3.72	4.02	1.082	0.113	1	1
AT1G04850	82.12	90.67	1.104	0.143	0.69	1
AT1G04860	51.8	65.67	1.268	0.342	0.4	0.961
