ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT1G03310	14.14	5.36	0.379	-1.401	0.121	0.579
AT1G03330	9.7	8.29	0.855	-0.227	0.855	1
AT1G03340	1.22	1.58	1.295	0.373	1	1
AT1G03350	49.58	57.87	1.167	0.223	0.716	1
AT1G03360	10.24	41.18	4.02	2.007	0.000916	0.0173
AT1G03365	20.85	27.44	1.316	0.396	0.48	0.999
AT1G03370	55.6	38.27	0.688	-0.539	0.196	0.735
AT1G03380	77.54	58.19	0.75	-0.414	0.236	0.798
AT1G03400	0	0.73	Inf	Inf	0.906	1
AT1G03410	9.92	19.02	1.917	0.939	0.204	0.744
AT1G03430	11.69	10.91	0.933	-0.1	0.989	1
AT1G03440	3.13	1.53	0.488	-1.036	0.73	1
AT1G03445	0.63	1.58	2.497	1.32	0.849	1
AT1G03457	28.91	22.79	0.788	-0.343	0.573	1
AT1G03470	4.98	22.14	4.442	2.151	0.0699	0.418
AT1G03475	18.22	21.02	1.154	0.206	0.809	1
AT1G03510	0	1.1	Inf	Inf	0.75	1
AT1G03520	13.96	10.85	0.778	-0.363	0.695	1
AT1G03530	10.88	48.71	4.478	2.163	0.000111	0.00306
AT1G03540	3.81	0.73	0.193	-2.377	0.565	1
AT1G03550	15.32	4.99	0.326	-1.618	0.066	0.402
AT1G03560	4.17	10.66	2.558	1.355	0.247	0.815
AT1G03590	36.07	66.57	1.845	0.884	0.0718	0.427
AT1G03600	11.47	3.53	0.308	-1.698	0.113	0.557
AT1G03610	29.14	35.28	1.211	0.276	0.627	1
AT1G03630	1.27	0.43	0.335	-1.576	0.857	1
AT1G03660	0.63	1.1	1.733	0.793	0.994	1
AT1G03680	6.8	1.58	0.233	-2.101	0.182	0.708
AT1G03687	9.24	11.15	1.206	0.27	0.819	1
AT1G03700	3.13	4.99	1.595	0.674	0.779	1
AT1G03730	5.08	5.36	1.055	0.077	1	1
AT1G03740	74.5	56.13	0.753	-0.409	0.263	0.835
AT1G03750	14.59	16.03	1.099	0.136	0.901	1
AT1G03760	7.48	9.21	1.232	0.301	0.773	1
AT1G03770	13.5	8.35	0.618	-0.694	0.438	0.985
AT1G03780	18.44	40.36	2.188	1.13	0.03	0.238
AT1G03820	4.35	119.09	27.375	4.775	9.24E-16	1.85E-13
AT1G03830	12.28	19.33	1.574	0.654	0.356	0.933
AT1G03840	21.39	4.39	0.205	-2.286	0.00534	0.0678
AT1G03850	61.9	40.41	0.653	-0.615	0.121	0.578
AT1G03860	47.9	87.61	1.829	0.871	0.0177	0.164
AT1G03870	126.3	11.82	0.094	-3.417	1.41E-17	3.13E-15
AT1G03900	89.82	60.71	0.676	-0.565	0.099	0.518
AT1G03905	7.12	7.74	1.088	0.122	1	1
AT1G03910	40.74	63.15	1.55	0.632	0.114	0.561
AT1G03920	13.46	16.95	1.26	0.333	0.655	1
AT1G03930	12.05	17.18	1.425	0.511	0.556	1
AT1G03950	4.31	1.22	0.283	-1.822	0.374	0.943
AT1G03960	4.85	8.11	1.672	0.742	0.56	1
AT1G03970	25.29	23.58	0.933	-0.101	0.923	1
AT1G03980	3.76	6.03	1.603	0.681	0.672	1
AT1G04000	3.63	6.28	1.731	0.792	0.621	1
AT1G04010	13.96	22.66	1.624	0.699	0.323	0.899
AT1G04020	13.41	20.24	1.509	0.593	0.402	0.962
AT1G04030	9.15	42.42	4.634	2.212	0.000238	0.00586
AT1G04040	198.08	117.79	0.595	-0.75	0.0029	0.0423
AT1G04050	4.89	7.26	1.483	0.569	0.667	1
AT1G04070	1.22	10.91	8.918	3.157	0.0268	0.22
AT1G04080	66.21	111.23	1.68	0.748	0.0173	0.162
AT1G04090	1.86	1.16	0.624	-0.681	0.949	1
AT1G04100	1.9	6.4	3.36	1.749	0.283	0.858
AT1G04110	0	0.37	Inf	Inf	1	1
AT1G04120	185.62	182.77	0.985	-0.022	0.943	1
AT1G04130	5.48	13.36	2.436	1.285	0.197	0.737
AT1G04140	114.43	85.79	0.75	-0.416	0.166	0.678
AT1G04150	0	1.47	Inf	Inf	0.614	1
AT1G04160	14.68	8.65	0.589	-0.763	0.377	0.943
AT1G04170	63.35	115.12	1.817	0.862	0.00709	0.0842
AT1G04180	6.98	3.11	0.446	-1.166	0.689	1
