"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G43240",402.496954847268,-0.0111391076704222,0.164787327004432,-0.0675968709057501,0.946106546359194,0.995424441814178
"AT3G02210",67.2514490729544,-0.023357008079395,0.343029543623834,-0.0680903686389424,0.945713697276578,0.995424441814178
"AT3G10070",170.764472338779,0.0135600187387745,0.199745721017666,0.0678864041226455,0.945876061722431,0.995424441814178
"AT3G13970",124.792388442108,-0.0164180538795309,0.242364428544763,-0.0677411861885441,0.945991662756211,0.995424441814178
"AT3G16170",343.997998334474,-0.0108577925117092,0.158033974790879,-0.0687054320191398,0.945224094297935,0.995424441814178
"AT3G27380",4165.34045209851,0.00853836994585438,0.12464997564509,0.0684987694675953,0.945388599599618,0.995424441814178
"AT3G27430",4106.99318530393,-0.00841835647884899,0.126193561388767,-0.0667098731995872,0.946812674146721,0.995424441814178
"AT3G48770",5.81518815677823,-0.0604344856217741,0.892674348909821,-0.0677004841637712,0.946024063890512,0.995424441814178
"AT3G51270",1240.74592151639,-0.00778603470542678,0.113473088691551,-0.0686156937755635,0.94529552648297,0.995424441814178
"AT3G62070",42.9933519029478,0.0231986979280138,0.34461981402851,0.0673167850009187,0.946329514699881,0.995424441814178
"AT4G11880",5.45692591816611,-0.0854930593934978,1.24616713523261,-0.0686048098817338,0.945304190158253,0.995424441814178
"AT4G16835",77.2010526783207,0.0177381367373171,0.26057978095436,0.0680718076911114,0.945728472488768,0.995424441814178
"AT4G18905",745.626816776103,-0.0087365781579103,0.127079981845952,-0.0687486575855897,0.945189686642543,0.995424441814178
"AT4G21540",618.745519344388,0.00858862103827491,0.12559076742071,0.0683857676377143,0.945478551086197,0.995424441814178
"AT4G27080",1415.43770666747,0.00679761161119642,0.101523348619899,0.0669561406671734,0.946616619480167,0.995424441814178
"AT4G29510",1057.06356447404,-0.012374874686637,0.182786094066083,-0.0677014011917294,0.946023333882945,0.995424441814178
"AT4G29735",1614.76377897511,0.0103284442408354,0.154575813975046,0.0668179838438554,0.946726606366971,0.995424441814178
"AT5G07880",14.6928126605932,-0.0388593873290735,0.568144814544872,-0.0683969761480668,0.94546962887953,0.995424441814178
"AT5G19570",212.570471378267,0.0136375503864396,0.200722425839002,0.0679423354387824,0.945831537787561,0.995424441814178
"AT5G24900",69.5646067222689,-0.0190528016971342,0.283779133585892,-0.0671395442518235,0.946470613140297,0.995424441814178
"AT5G25080",489.586585336838,-0.010994435333725,0.161492559010633,-0.0680801357107796,0.945721843069748,0.995424441814178
"AT5G35360",6117.90675047249,0.00805040010517273,0.120498498017981,0.0668091323758364,0.946733653070653,0.995424441814178
"AT5G41350",322.404395563041,0.0122689008751425,0.183950378726588,0.0666967959515768,0.946823085094328,0.995424441814178
