GeneID,trivial_name,aux_sens,intersection
AT5G62000,ARF_ARF2_col_v31,TRUE,AT1G05010/AT1G05850/AT1G10480/AT1G13260/AT1G19220/AT1G22810/AT1G28360/AT1G68765/AT1G70560/AT1G70560/AT1G74660/AT2G31730/AT2G40940/AT2G47520/AT2G47520/AT3G20860/AT3G49700/AT4G05100/AT4G11280/AT4G18780/AT4G23750/AT4G27440/AT4G36900/AT4G37770/AT5G07580/AT5G25190/AT5G55620
AT1G19850,ARF_ecoli_MP_col,FALSE,AT1G02500/AT1G05710/AT1G05850/AT1G05850/AT1G10480/AT1G10480/AT1G18570/AT1G19220/AT1G19220/AT1G21140/AT1G22810/AT1G28360/AT1G28370/AT1G28370/AT1G43160/AT1G48420/AT1G66350/AT1G68765/AT1G70560/AT1G72360/AT1G73500/AT1G74660/AT1G77200/AT2G02710/AT2G05520/AT2G19590/AT2G31180/AT2G44840/AT2G44940/AT2G46830/AT2G47520/AT2G47520/AT3G04720/AT3G06490/AT3G15010/AT3G20860/AT3G49700/AT3G49700/AT3G55730/AT3G59060/AT3G59060/AT3G59060/AT3G62680/AT4G08040/AT4G11280/AT4G11280/AT4G17490/AT4G17490/AT4G17500/AT4G17500/AT4G23750/AT4G24670/AT4G26200/AT4G27440/AT4G32800/AT4G32940/AT4G36900/AT4G37770/AT4G37770/AT5G07310/AT5G07310/AT5G10520/AT5G10520/AT5G10720/AT5G19790/AT5G21120/AT5G25190/AT5G37260/AT5G44210/AT5G47220/AT5G47230/AT5G52020/AT5G52020/AT5G52020/AT5G52020/AT5G56080/AT5G56080/AT5G57390/AT5G59430/AT5G61590/AT5G61890/AT5G67300
AT1G20910,ARID_AT1G20910_col_a,FALSE,AT1G12010/AT1G18570/AT1G21910/AT1G21910/AT1G28370/AT1G28370/AT1G36060/AT1G43160/AT1G70560/AT1G73500/AT1G73500/AT2G02710/AT2G02710/AT2G05520/AT2G05520/AT2G05520/AT2G25820/AT2G25820/AT2G28160/AT2G33710/AT2G33710/AT3G04720/AT3G25730/AT3G25730/AT3G49700/AT3G49700/AT4G05100/AT4G18450/AT4G18780/AT4G36900/AT4G36900/AT4G36900/AT5G10720/AT5G25190/AT5G25190/AT5G37260/AT5G37260/AT5G44790/AT5G61590
AT2G01930,BBRBPC_BPC1_col_a,FALSE,AT2G46370/AT3G61630/AT5G02840/AT5G10510/AT5G10720/AT5G57390
AT2G01930,BBRBPC_BPC1_colamp_a,FALSE,AT1G05710/AT1G05850/AT1G12010/AT1G25560/AT1G28360/AT1G28360/AT1G28360/AT1G28360/AT1G36060/AT1G44830/AT1G62300/AT1G74840/AT1G77200/AT2G38120/AT2G44840/AT2G46370/AT2G46830/AT2G47460/AT3G08040/AT3G15010/AT3G15010/AT3G24500/AT3G50480/AT3G51430/AT3G51430/AT3G59900/AT3G61630/AT3G61630/AT4G05100/AT4G11140/AT4G20380/AT4G23750/AT4G26200/AT4G32800/AT4G37580/AT4G38130/AT5G02840/AT5G02840/AT5G10510/AT5G10720/AT5G10720/AT5G13910/AT5G18560/AT5G21120/AT5G25190/AT5G37260/AT5G39610/AT5G44030/AT5G53290/AT5G55620/AT5G57390/AT5G59430/AT5G64900
AT5G45300,BES1_BAM8_col_a,FALSE,
AT5G45300,BES1_BAM8_colamp_a,FALSE,
AT2G31220,bHLH_bHLH10_col_a,FALSE,
AT2G31220,bHLH_bHLH10_colamp_a,FALSE,AT1G05850/AT1G05850/AT1G13260/AT1G22810/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT2G25820/AT3G50260/AT3G59060/AT3G61630/AT4G27440/AT4G36900/AT4G37770/AT5G67300
AT1G51140,bHLH_bHLH122_col100_a,TRUE,AT1G02500/AT1G05010/AT1G21910/AT1G22810/AT1G25560/AT1G43160/AT1G68765/AT1G72360/AT1G73500/AT1G74660/AT2G41230/AT2G46830/AT2G47520/AT2G47520/AT3G04580/AT3G14230/AT3G25730/AT3G50260/AT3G50480/AT3G59060/AT3G59060/AT3G59900/AT3G61630/AT4G17500/AT4G17500/AT4G20380/AT4G23750/AT4G27440/AT4G32940/AT5G13910/AT5G19790/AT5G37260/AT5G47220/AT5G52020/AT5G61590/AT5G61590
